username,userid,profile_location,created_at,text,retweet_count,source,coordinates
kelly dawson,370074441,"Kansas City, MO",2023-01-22 19:16:41,"In a 1,000 yrs people will look back on our society as one of the most baffling and insane socities to ever exist.… https://t.co/Z1776lFUAz",0,Twitter for Android,
Toni Bones,2351051454,"Kansas City, Mo",2023-01-22 18:51:22,"@davidhogg111 @POTUS Yeah, so only criminals have guns and people can't protect themselves. This is why you homesch… https://t.co/Nr9UZSaf9p",0,Twitter for Android,
OSU1984,1334852045636046849,"Shawnee, KS",2023-01-22 18:24:49,@ninaturner Ban democrats and illegals from owning guns and then we will talk,0,Twitter for iPhone,
Susan Scheerer,554520867,"Kansas City, Missouri USA",2023-01-22 18:19:18,@Arthur59611540 Guns are winning.  People are dying from gun violence.,0,Twitter Web App,
NOMONEYNOVOTE,1551043991805853698,"Kansas City, MO",2023-01-22 16:57:40,@howmanyare2many @grayzonewarlord @RyanGirdusky AMERICAN PRIDE IS WHITE SUPREMACIST CULTURE.... THAT'S HOW YOU END… https://t.co/zeCIvoevvY,0,Twitter for Android,
Kim AF Brat,279337502,"Kansas City, Missouri",2023-01-22 16:36:18,"@brianklaas @rhaton13 Is the guns, but primarily it’s the assault weapons. Which Republicans refuse to ban",0,Twitter for iPhone,
Megan Zander,739834999692632064,"Kansas City, MO",2023-01-22 16:25:46,@JoshuaG22764885 @ericareport Broaden your comparison to America vs. other countries and then make that same analys… https://t.co/8AcC7oVECG,0,Twitter for Android,
Andy Maidment,1512074047600832527,"Kearney, MO",2023-01-22 16:11:51,@GarrettMottle @SenSanders No guns allowed in schools and clubs. If you'd actually read my tweet you would come up with a better argument.,0,Twitter for Android,
Ginny Newman,316229423,"Overland Park, KS",2023-01-22 16:08:42,@nathaliejacoby1 Guns,0,Twitter for iPhone,
Dave Thomas,69366271,"Grandview, MO 64030",2023-01-22 16:05:11,"Bad people do bad things with guns, or knives, or any other thing available to accomplish their violent intentions,… https://t.co/XMI3CnHOBa",0,Twitter Web App,
Darrell Kramer,1519427691702886400,"Excelsior Springs, MO",2023-01-22 15:50:51,@edgould64 Planned. By you know who. The ban guns mob are always up to bull shit. https://t.co/YNQ8XizKhp,0,Twitter for iPhone,
Andy Maidment,1512074047600832527,"Kearney, MO",2023-01-22 15:49:14,"@SenSanders It's interesting that these seem to take place in places where guns aren't allowed. New York, Californi… https://t.co/eJ57NP8Uho",0,Twitter for Android,
rob huang,943257067,,2023-01-22 15:27:46,"@Kristenb23 Truly sad.  I heard about it and to be honest, the first thought I had was not hate crime but rival gan… https://t.co/zUQY7LuGwb",0,Twitter for iPhone,
Rob Carson,19765803,"Kansas City, MO",2023-01-22 15:11:38,"How 'bout a wholesale raid, guns drawn with ALL LEGAL COUNSEL ushered out of each location like this aholes did at… https://t.co/Pe65t2kDGu",0,Twitter Web App,
OSU1984,1334852045636046849,"Shawnee, KS",2023-01-22 14:34:14,@TheRichFromCali You are right ! Ban dems from owning guns !,0,Twitter for iPhone,
Mark Trued,1209364268,"Kansas City, MO",2023-01-22 14:20:20,@ladymitopinion You had me at ban the guns.,0,Twitter Web App,
🆂🆄🆂🅰🅽 🅻🅴🅴,254638362,Somewhere over the🌈,2023-01-22 14:02:03,"@coffee_anytime Involuntary manslaughter. If everyone that handled the gun, checked the gun, that beautiful soul wo… https://t.co/6kRjFDlhSf",0,Twitter for iPhone,
Jerry Jensen ⚖️,133045349,Kansas City,2023-01-22 13:18:44,The gun lobby and members of Congress it buys are formidable. Seems like accepting $ from an entity that promotes t… https://t.co/tzmhTMezhn,20,Twitter for iPhone,
Lanista51,1586896624651051008,"Overland Park, KS",2023-01-22 11:42:28,@washingtonpost Banning guns only disarms law biding citizens.   Criminals and crazies that don’t follow the law th… https://t.co/UB7fWDS7jX,0,Twitter for iPad,
Constitutional Republic,1348966013916901376,"Leavenworth, Kansas",2023-01-22 10:44:03,@urnameurlastna1 You seruously can't be gullible enough to believe that banning guns will keep criminals from getting them.,0,Twitter for Android,
